Make,Model,Year,Fuel_Type,Transmission,Color,Price,Mileage
,Model S,2006.0,Diesel,CVT,,19360.526527383314,186892.0
Chevrolet,Impala,2000.0,Hybrid,Automatic,Red,,62623.0
Honda,CR-V,2006.0,Electric,,Silver,42171.90374506031,153371.0
Nissan,Sentra,,Diesel,Automatic,Silver,36177.99807731356,43585.0
Toyota,Camry,2009.0,Gasoline,CVT,Red,18997.740861153554,109556.0
Honda,CR-V,2020.0,Diesel,Manual,,36694.721036296214,2693.0
Tesla,Model X,2013.0,Electric,Automatic,Silver,18881.81814855815,25939.0
Ford,Fusion,2002.0,Diesel,Manual,Blue,28283.643628207377,179997.0
,Malibu,,,CVT,Blue,,75766.0
Chevrolet,Impala,2010.0,Diesel,,Red,35630.89414192066,146779.0
Nissan,Altima,2013.0,Electric,Automatic,Grey,35430.62438644408,161152.0
Honda,Accord,2016.0,Hybrid,,Red,28081.76522280793,128376.0
Tesla,Model S,2016.0,Hybrid,Manual,Grey,19879.57520075243,
Honda,CR-V,2008.0,Electric,CVT,Blue,22356.954109739476,21959.0
,320i,2012.0,Electric,Manual,Blue,,13545.0
Chevrolet,Impala,2001.0,Hybrid,Manual,Red,52077.47562360963,127659.0
Tesla,Model S,2007.0,Diesel,CVT,Silver,25004.545348271786,61087.0
Nissan,Rogue,2020.0,Hybrid,Manual,Red,26146.593813688152,68840.0
Ford,,2000.0,Diesel,,Red,25029.4626496634,39353.0
,Focus,2012.0,,Manual,Grey,28901.453949437877,193075.0
BMW,X5,2018.0,Diesel,Manual,Black,36134.05134162424,154736.0
BMW,X3,2014.0,Diesel,Manual,Red,22090.46647899872,67172.0
Nissan,Sentra,2012.0,,Manual,Black,30451.7265745577,112181.0
Tesla,,2002.0,Electric,,Silver,48474.31584363965,131926.0
Nissan,Altima,2016.0,Diesel,Automatic,Red,33583.15574575145,177789.0
Ford,Focus,2011.0,Diesel,Manual,,28057.28516445832,50859.0
Honda,CR-V,2024.0,Electric,Automatic,Red,44737.76072944098,194806.0
,Camry,2001.0,Diesel,Automatic,White,15450.665860475676,70467.0
Chevrolet,Malibu,2023.0,Hybrid,Automatic,White,,143760.0
Honda,Accord,2013.0,Gasoline,Automatic,White,24831.04342151816,25342.0
Ford,Escape,2000.0,Gasoline,Automatic,Red,28970.317472405473,106081.0
Ford,Fusion,2000.0,Diesel,CVT,White,40509.911735202186,196805.0
Nissan,Rogue,2012.0,Hybrid,Automatic,Red,39135.37828317383,22671.0
BMW,X3,2011.0,Gasoline,CVT,Silver,27079.064817723884,156256.0
Honda,Accord,2022.0,Diesel,Manual,Blue,30210.745975111513,51663.0
BMW,320i,2019.0,Electric,CVT,Black,21021.847024962728,15708.0
Ford,Escape,2000.0,Gasoline,Manual,Black,26876.577273364688,
Chevrolet,Equinox,2022.0,Diesel,Manual,Black,36431.274386910845,124249.0
BMW,X3,2002.0,Diesel,Manual,White,18370.024267004002,133983.0
Toyota,Corolla,2024.0,Electric,CVT,Grey,30514.222311045203,198342.0
Nissan,Rogue,2003.0,Gasoline,Manual,Blue,34022.52024286549,71295.0
Ford,Focus,2023.0,Electric,Automatic,Red,,100689.0
Nissan,Altima,2006.0,Gasoline,Manual,Red,33614.84354252171,39384.0
Tesla,Model X,2021.0,Diesel,CVT,Grey,36948.42268965242,112561.0
Honda,Civic,2006.0,Electric,Automatic,Blue,36101.37913027252,96601.0
Ford,Focus,2006.0,Electric,CVT,Blue,20768.517626745335,107512.0
Honda,Accord,2018.0,Electric,CVT,,17171.02816106227,
,Escape,2016.0,Gasoline,CVT,White,30892.33868921989,103727.0
Chevrolet,,2009.0,Gasoline,Manual,Grey,30471.184497998867,29855.0
Nissan,Rogue,2000.0,Diesel,Automatic,Grey,33761.972740096295,192506.0
BMW,X5,2012.0,Electric,Automatic,Black,25489.52065821205,173714.0
Ford,Fusion,2003.0,Electric,Manual,Red,23650.392323514025,15151.0
,Model 3,2019.0,Electric,Manual,Red,30815.33849720539,120885.0
BMW,X5,2018.0,Hybrid,CVT,Silver,30793.227352708203,126071.0
BMW,X5,2007.0,,Automatic,Grey,36404.98339871176,126063.0
Honda,CR-V,2010.0,Hybrid,Manual,Grey,43414.453929940966,133629.0
Tesla,Model 3,2010.0,Hybrid,CVT,Black,22609.636521557346,77505.0
Ford,Fusion,2022.0,,Manual,White,21795.446931986444,2869.0
BMW,X3,2001.0,Gasoline,Automatic,Red,31129.942826124607,94179.0
,,2021.0,Gasoline,CVT,White,29882.13795110665,90272.0
BMW,X3,2008.0,Diesel,CVT,,29963.572915117275,135059.0
BMW,320i,2001.0,Electric,Automatic,Silver,27125.075203005727,
Toyota,Corolla,2008.0,Hybrid,Manual,Grey,37225.32096933242,86416.0
Tesla,Model X,2021.0,Electric,Manual,Silver,,70271.0
Chevrolet,Equinox,2002.0,Gasoline,Automatic,Black,23492.69182515469,171890.0
BMW,320i,2018.0,Diesel,CVT,Blue,31093.96389321232,176597.0
Toyota,,2021.0,Electric,Manual,Black,23328.641777808574,47333.0
Toyota,RAV4,2014.0,Diesel,CVT,Silver,,134508.0
Tesla,Model X,2015.0,,Manual,White,36828.84163871001,30746.0
Toyota,RAV4,2012.0,Diesel,Manual,Silver,29777.059817344576,49377.0
BMW,X5,2018.0,Electric,CVT,Red,,170862.0
Toyota,Corolla,2023.0,Gasoline,,Grey,,107455.0
Toyota,Camry,2009.0,,CVT,Red,27201.60607762228,
,Model 3,2013.0,Electric,,Red,33776.97798108613,187907.0
Tesla,Model X,,Gasoline,Manual,Grey,30314.850483525173,187563.0
Ford,Focus,2011.0,Hybrid,Automatic,Silver,28970.461371766378,124123.0
Nissan,Altima,2013.0,Electric,Manual,Silver,16625.61703375857,43525.0
Ford,Escape,2015.0,Gasoline,Automatic,,,178274.0
Tesla,Model S,2005.0,Hybrid,Manual,Silver,34545.97022324314,115294.0
BMW,320i,2015.0,,Manual,White,15418.278046878002,197307.0
Tesla,Model X,2007.0,Diesel,Automatic,Red,26606.53325741498,
Chevrolet,Equinox,2002.0,Hybrid,Manual,Silver,35827.87346177706,6102.0
,Corolla,2005.0,Gasoline,Manual,White,,26641.0
Honda,Civic,2002.0,Diesel,Automatic,Grey,16881.9792437129,165656.0
Ford,Fusion,2012.0,Hybrid,Automatic,Black,38222.47342155817,103746.0
,Model X,2019.0,,Automatic,Red,27484.417319468703,182957.0
Chevrolet,Malibu,2002.0,Hybrid,CVT,Grey,31732.152922088495,11093.0
Toyota,,2005.0,Gasoline,Automatic,Grey,23932.973314572293,
Toyota,,2021.0,Electric,Manual,White,30436.565388345,176089.0
Nissan,Sentra,,,Manual,White,21427.722766270326,197392.0
Chevrolet,Malibu,2009.0,Diesel,,Blue,33373.305288665506,5801.0
Ford,Fusion,2014.0,Gasoline,Manual,Silver,43341.93257914471,150262.0
Nissan,Altima,2014.0,Gasoline,Manual,Silver,18364.24541932011,10647.0
,X3,2001.0,,CVT,Blue,26171.30085316803,139788.0
BMW,320i,2014.0,Hybrid,CVT,Silver,21125.507839091857,77575.0
Honda,Accord,2016.0,Diesel,Manual,Grey,33712.46740643771,6655.0
Ford,Focus,2020.0,Electric,,Grey,25830.413266690368,87922.0
Tesla,Model S,2002.0,Electric,Automatic,Red,29041.988786520855,186838.0
Nissan,Sentra,2018.0,Gasoline,CVT,Red,30512.634383278717,142038.0
Chevrolet,Impala,2007.0,Diesel,Manual,Red,26929.433770713316,124862.0
Honda,,2010.0,Hybrid,,Silver,29702.728934702856,180798.0
Nissan,Altima,2019.0,Hybrid,Automatic,Blue,25990.02943612452,
Tesla,,2009.0,Gasoline,Automatic,Red,35146.95142780885,187733.0
Toyota,RAV4,,Gasoline,Manual,Black,17904.630966077613,31024.0
Honda,Accord,2016.0,Hybrid,Automatic,,23301.59794778083,113632.0
,Corolla,2015.0,Electric,Manual,Grey,27488.870644539496,150580.0
BMW,,2008.0,Hybrid,Manual,White,39077.98974852479,189407.0
Chevrolet,,2024.0,,Manual,Red,28865.730258808282,187251.0
Toyota,Camry,2004.0,Diesel,CVT,,42478.27342086188,73523.0
BMW,X5,2012.0,Gasoline,Automatic,Grey,,94476.0
Ford,Escape,2000.0,Gasoline,CVT,Black,29196.041436291554,28251.0
Honda,Accord,2001.0,Hybrid,Manual,White,26353.37035685157,103481.0
Toyota,Camry,2023.0,Diesel,CVT,Black,24211.356916824334,66617.0
,Model X,2009.0,Diesel,Automatic,Black,42459.76297956116,16896.0
,Model S,2006.0,Hybrid,Automatic,Silver,18383.78490131931,5237.0
Nissan,Altima,2005.0,Hybrid,CVT,,27426.532019219263,20056.0
BMW,X5,,Hybrid,Manual,Silver,20543.370342487164,134415.0
BMW,X3,2021.0,Electric,CVT,Black,36883.96460291082,144572.0
Nissan,Sentra,2015.0,,,Blue,32829.72199095307,113429.0
Toyota,Camry,,Hybrid,CVT,Silver,,
Chevrolet,Malibu,2000.0,Hybrid,Automatic,Black,30649.24360891916,69042.0
Honda,Accord,2000.0,Gasoline,CVT,Silver,25553.37950654734,144356.0
Toyota,Camry,2023.0,Electric,Automatic,Silver,27454.602801163524,9435.0
BMW,X3,2019.0,Gasoline,Manual,Black,23885.467976085572,185412.0
BMW,X5,2022.0,Diesel,Manual,Blue,27895.088434943846,78781.0
Nissan,Altima,2010.0,Gasoline,Manual,Grey,25470.18060376689,
BMW,320i,2022.0,Electric,Automatic,Silver,35243.19286394992,193824.0
Toyota,Corolla,2001.0,Diesel,Manual,Silver,34499.224752832546,56573.0
Honda,CR-V,2011.0,Gasoline,Manual,Silver,15037.788213317632,23049.0
Toyota,Camry,2020.0,Hybrid,Automatic,Silver,20248.5536880492,98116.0
Toyota,RAV4,2023.0,Diesel,Automatic,White,27567.034143244502,196489.0
Honda,Civic,2009.0,Hybrid,Manual,White,33934.56750472882,
Toyota,Corolla,2005.0,Diesel,,White,30013.60208396007,41975.0
Ford,Fusion,2022.0,Diesel,,Black,35669.51461343739,9540.0
Nissan,Sentra,2023.0,,Manual,,37294.746501740934,188751.0
Tesla,Model 3,,,Manual,Red,41583.56129030844,
Chevrolet,Impala,2010.0,Hybrid,,,38793.26836794182,190347.0
BMW,320i,2016.0,Electric,CVT,Silver,33985.500082202474,11938.0
Ford,Fusion,2009.0,Diesel,CVT,Silver,25386.49741671502,101042.0
Toyota,Camry,,Diesel,,,45834.88231212189,
Honda,Accord,2019.0,Electric,CVT,White,28861.611787233123,38304.0
,Escape,2007.0,Gasoline,Automatic,Blue,34412.37904863432,69449.0
,,2012.0,,CVT,Blue,24982.688795124865,38494.0
Ford,,2011.0,Diesel,Automatic,Grey,23489.368309466343,3373.0
Nissan,Altima,2000.0,Diesel,Manual,Red,26351.754254607295,25351.0
Toyota,Corolla,2013.0,Gasoline,,Silver,31556.986959642898,88668.0
Toyota,RAV4,2018.0,Hybrid,Manual,White,25579.764322918414,
Tesla,Model S,2016.0,Diesel,Manual,Silver,36372.01572765769,82745.0
Nissan,Altima,2009.0,Gasoline,,White,37140.08320385021,131484.0
Nissan,Altima,2015.0,Hybrid,CVT,Red,40894.126855967785,7543.0
Chevrolet,Impala,2022.0,,Automatic,,,44425.0
Honda,Civic,2021.0,Gasoline,Automatic,Silver,34722.21631442709,38756.0
Ford,,,Hybrid,CVT,White,35604.70203842446,114352.0
Honda,CR-V,2023.0,Electric,Manual,Blue,34577.77699075099,83042.0
,Malibu,2001.0,Diesel,Manual,Red,16592.462910511636,196582.0
Honda,Accord,2009.0,Hybrid,Automatic,Blue,20845.72421788609,165983.0
Nissan,Rogue,,Electric,Manual,Grey,34103.23035877528,61476.0
BMW,X3,2007.0,Hybrid,Manual,White,,44811.0
Ford,Escape,2020.0,Gasoline,CVT,Blue,41646.448318794944,112856.0
Honda,Accord,2008.0,Hybrid,CVT,Black,26703.61593394292,68450.0
Tesla,,2021.0,Gasoline,Automatic,Red,39791.09105365747,181589.0
Nissan,Sentra,2010.0,Electric,Manual,Red,30157.52881224569,119180.0
Honda,Accord,2003.0,,Manual,Black,28205.814015976837,147851.0
Nissan,Rogue,2020.0,Hybrid,Automatic,White,36404.81033300892,195004.0
Toyota,Camry,2021.0,Electric,Manual,Silver,32431.247643663315,
,Altima,,Hybrid,Manual,Red,29023.927092242364,163379.0
Chevrolet,Equinox,2009.0,,CVT,Grey,44342.38229879978,86900.0
Honda,Accord,2020.0,Diesel,CVT,Silver,37989.20311910188,
Toyota,RAV4,,Diesel,Automatic,Red,22454.869638752236,142202.0
Ford,Escape,2013.0,Hybrid,Automatic,Black,20893.58540409201,87508.0
BMW,320i,2005.0,,CVT,,35780.087471423336,27192.0
BMW,320i,2018.0,Electric,Manual,Red,,1062.0
Ford,Escape,2017.0,,CVT,White,29908.14920364814,11174.0
Tesla,Model 3,2023.0,Diesel,CVT,Grey,23270.592213856264,88461.0
Toyota,Camry,2010.0,Gasoline,Automatic,Silver,14324.866885272902,
BMW,320i,2013.0,,CVT,Black,,74460.0
BMW,X5,2010.0,Gasoline,Automatic,Red,,179208.0
Chevrolet,Equinox,2017.0,Gasoline,CVT,Black,27589.60618760255,154697.0
BMW,X3,,Diesel,Automatic,Silver,30675.54440236246,175333.0
Honda,Civic,2009.0,Diesel,CVT,Red,30620.478268503593,1542.0
Honda,,2003.0,Hybrid,,Red,19204.03802524702,193928.0
BMW,320i,,Diesel,CVT,Blue,27123.843553539285,93105.0
BMW,X5,2012.0,Electric,Manual,Grey,18137.59555789091,
Nissan,Altima,2006.0,Diesel,CVT,Red,30592.567606830424,13807.0
BMW,X5,,Gasoline,Automatic,Black,,132396.0
Nissan,Rogue,2004.0,Electric,CVT,Black,28595.812827383896,91267.0
Nissan,Rogue,2020.0,,CVT,,39948.7791557758,165650.0
Honda,CR-V,2013.0,Electric,Manual,Grey,22842.07403570254,26790.0
Toyota,Camry,2004.0,Hybrid,CVT,Red,36432.44717401515,15485.0
Honda,,2011.0,Electric,CVT,Grey,28800.461025274297,44482.0
Nissan,Rogue,2023.0,Electric,Manual,White,25693.489133942407,
Honda,Accord,2000.0,Hybrid,Manual,White,18810.192559058632,123961.0
BMW,320i,,Electric,Automatic,,36389.583506735136,
Nissan,Rogue,2024.0,Gasoline,,Black,35762.54590728753,173416.0
Honda,Accord,2002.0,Gasoline,Manual,Silver,36301.28369458819,80219.0
Chevrolet,Equinox,2013.0,Electric,Manual,,38500.06518801805,61629.0
BMW,X5,2011.0,Gasoline,Automatic,Grey,25880.56363844197,23960.0
Toyota,RAV4,2024.0,Electric,Automatic,Blue,11556.049784410887,33591.0
Nissan,Altima,2012.0,,Manual,White,10767.435139044796,198713.0
Toyota,,2011.0,,,White,38570.44412470375,36395.0
BMW,X5,,Electric,CVT,White,30342.058799441962,128148.0
Ford,Fusion,2009.0,Diesel,Automatic,Black,32918.846821084044,
Honda,Civic,2011.0,Electric,Automatic,White,31680.693613578125,21732.0
Nissan,Rogue,2002.0,,Manual,Grey,30094.44300586346,91362.0
Toyota,Camry,2004.0,Hybrid,,Silver,26460.60194032394,
Honda,CR-V,2023.0,Diesel,,Red,31629.048584197986,17640.0
Ford,,2021.0,Gasoline,Manual,White,24736.399181042998,183808.0
,Model X,2010.0,Electric,Automatic,Black,,110133.0
BMW,320i,2003.0,Gasoline,CVT,Silver,,155576.0
Tesla,Model 3,2010.0,Diesel,CVT,,,138186.0
Honda,Civic,2023.0,Gasoline,CVT,Silver,29168.010482778674,66203.0
Honda,CR-V,2010.0,Gasoline,Manual,Silver,37322.31844860827,119156.0
,Model X,2001.0,Hybrid,Automatic,White,23702.08618364418,61529.0
BMW,X5,2012.0,Diesel,Automatic,,25504.555159169835,102023.0
Honda,CR-V,2007.0,Diesel,CVT,Red,,158427.0
BMW,320i,2017.0,Electric,Manual,Red,16424.015062529877,127016.0
Honda,CR-V,2015.0,Hybrid,Manual,Blue,27574.704007475986,121790.0
,Camry,,Gasoline,Automatic,Grey,17549.1193458275,105616.0
Nissan,Rogue,2023.0,Hybrid,CVT,Red,25160.08343101885,166619.0
,Civic,2009.0,Diesel,Manual,Red,17995.417432292747,97007.0
Tesla,Model X,2013.0,Hybrid,CVT,Red,35564.722623970985,129473.0
Honda,CR-V,2001.0,Diesel,CVT,Black,41074.93969072222,196617.0
Ford,Escape,2016.0,Electric,Manual,Blue,38845.800905409655,139487.0
Nissan,Rogue,2002.0,Gasoline,Automatic,Black,26481.182609214713,112816.0
Honda,CR-V,2006.0,Hybrid,Automatic,Red,40292.83347410435,193752.0
,Model S,2004.0,Hybrid,Manual,Blue,24916.60430254962,20309.0
Honda,CR-V,2024.0,Gasoline,CVT,Silver,31940.001840076628,151456.0
Toyota,RAV4,2005.0,Hybrid,,Red,39243.85658802188,18017.0
Ford,Focus,2018.0,Hybrid,CVT,Blue,32568.426885056357,140932.0
Chevrolet,Impala,2003.0,Diesel,CVT,,44336.47204882071,80642.0
Nissan,,2003.0,Gasoline,Manual,Red,,10916.0
Toyota,Camry,2006.0,Gasoline,CVT,Silver,,4809.0
Chevrolet,Malibu,,Diesel,CVT,Red,26624.50896390567,187469.0
,Fusion,2001.0,Hybrid,Manual,Black,34671.37449260624,121288.0
Honda,CR-V,2009.0,Hybrid,Manual,Silver,19735.574133436072,37744.0
Honda,CR-V,2002.0,Gasoline,CVT,Silver,34016.188574814034,176615.0
Honda,Civic,2000.0,Electric,Automatic,Red,18494.143719482832,138311.0
BMW,X3,2018.0,Gasoline,,Red,,124454.0
Tesla,Model 3,,Diesel,,Red,31817.502645623343,174197.0
Chevrolet,,2021.0,Hybrid,Automatic,Blue,45355.49190847679,49922.0
Nissan,Sentra,2009.0,Gasoline,Automatic,Grey,38844.728880478695,
Chevrolet,,2014.0,Gasoline,CVT,Silver,30506.388610575817,
Chevrolet,Malibu,,Diesel,Automatic,Black,37699.34884914059,173880.0
Ford,Focus,2019.0,Electric,CVT,Silver,31245.660993811132,184943.0
BMW,X3,2023.0,Hybrid,Manual,White,10434.089927367182,1252.0
Nissan,Sentra,2001.0,Gasoline,Manual,,25086.860371319413,39764.0
Ford,,,Gasoline,CVT,White,38622.173091248114,
Ford,Focus,2016.0,Hybrid,Automatic,Grey,33939.087845182105,81317.0
Tesla,Model 3,2004.0,Hybrid,Manual,Grey,31523.351609598798,55393.0
Honda,Accord,2020.0,Diesel,Manual,,30371.795469745535,138013.0
Tesla,Model X,2003.0,,Manual,Red,23485.635472142254,75745.0
Ford,Escape,2010.0,Hybrid,Automatic,Red,30873.08235090568,94456.0
,Model X,2003.0,Electric,Automatic,,41267.67789072021,70390.0
Toyota,RAV4,2014.0,Electric,CVT,White,30555.710853148314,183401.0
Tesla,,2022.0,Hybrid,CVT,Red,17224.63170483634,125911.0
Toyota,RAV4,,Gasoline,Automatic,Blue,29583.39225827536,102468.0
,X3,,Electric,,White,29953.506452445956,69836.0
Toyota,RAV4,2000.0,Hybrid,Manual,Red,33023.394953141826,104573.0
BMW,,2007.0,Diesel,CVT,Blue,20216.4787462136,137326.0
Chevrolet,,2001.0,Electric,CVT,Black,35022.54411622529,148216.0
Chevrolet,Equinox,2008.0,Diesel,CVT,Black,47564.814018847464,137162.0
Nissan,Sentra,2019.0,Hybrid,Automatic,Silver,21736.089000136795,142709.0
Toyota,Camry,2002.0,Diesel,CVT,Black,23189.594673221716,
Ford,Escape,2020.0,Hybrid,CVT,Blue,34207.748006032954,108215.0
,,2024.0,Electric,Automatic,Black,37478.36416423365,164506.0
Honda,CR-V,2001.0,Hybrid,Automatic,Grey,28235.10943569561,69724.0
Toyota,,2012.0,Hybrid,Manual,,30570.360299222888,142386.0
Ford,Escape,2003.0,Diesel,Manual,White,32647.199816541764,155026.0
Ford,Focus,2012.0,Gasoline,Manual,Silver,26225.71885750689,103081.0
Tesla,Model S,2010.0,Diesel,Automatic,Silver,,36668.0
Chevrolet,Impala,2021.0,Diesel,Automatic,,30381.31926852117,104680.0
Toyota,Corolla,,Diesel,Automatic,Blue,26335.1993595894,147979.0
BMW,X3,2021.0,Electric,Automatic,White,,
Honda,Accord,2018.0,Gasoline,CVT,Silver,21015.915805583638,112428.0
,X3,2017.0,Gasoline,Manual,Grey,25310.713623348325,22574.0
Nissan,Sentra,2004.0,Gasoline,,Red,,136312.0
Ford,Focus,2008.0,Hybrid,,Black,30918.791237546393,150334.0
BMW,X3,2014.0,Gasoline,CVT,,44800.956687019185,118831.0
Nissan,Sentra,,Hybrid,Manual,,29157.539627318776,190471.0
Tesla,,2007.0,Hybrid,CVT,Grey,28342.728003500826,127600.0
Ford,Fusion,2019.0,Hybrid,Manual,Grey,31335.963193207983,131374.0
Tesla,Model 3,2021.0,Diesel,Automatic,White,30267.26594887842,131127.0
Chevrolet,Equinox,2008.0,Gasoline,Automatic,Silver,,73686.0
Chevrolet,Impala,,Electric,CVT,Blue,27669.568015371045,67661.0
Ford,Focus,2012.0,Electric,CVT,,42337.25785125963,4621.0
Chevrolet,Equinox,2022.0,Gasoline,CVT,White,28132.22970332716,146106.0
Toyota,Corolla,2023.0,Gasoline,Automatic,,,18030.0
Nissan,Sentra,2000.0,Hybrid,Manual,Blue,,
Toyota,Camry,2009.0,Gasoline,Automatic,Silver,53091.60606341428,
Chevrolet,Impala,2001.0,Hybrid,Automatic,White,38396.81183575933,105977.0
Tesla,Model S,,Gasoline,Manual,Grey,21226.736746311824,46271.0
Chevrolet,Malibu,2019.0,,,,17556.813087092574,73688.0
Honda,CR-V,2018.0,Diesel,CVT,White,24216.8509462167,1062.0
Chevrolet,Malibu,,Diesel,Automatic,Red,,50448.0
Honda,Civic,2020.0,Diesel,,Blue,25150.70336818105,47915.0
Ford,,2015.0,,CVT,Silver,21888.389972892037,4632.0
Tesla,Model S,,Diesel,CVT,Black,31636.670493983223,108099.0
Ford,Escape,2021.0,Diesel,Manual,Grey,,7561.0
BMW,X5,2008.0,Hybrid,Manual,White,29940.20519012537,26734.0
Honda,Accord,2016.0,Gasoline,Automatic,,,137443.0
Toyota,Camry,,Diesel,CVT,Silver,47807.47052619291,73479.0
BMW,X3,2009.0,Hybrid,Automatic,,37608.995195154734,81264.0
,Model S,2002.0,Hybrid,Manual,White,14943.239839779197,191076.0
Tesla,Model X,2009.0,Hybrid,Automatic,Red,38005.921291760635,194053.0
Honda,Accord,2009.0,Hybrid,Manual,White,31694.979555705224,126394.0
BMW,X5,2020.0,Electric,Manual,Red,36298.10578423285,75703.0
Ford,,2021.0,Gasoline,CVT,Blue,14406.542077691276,159096.0
Tesla,Model X,2022.0,Gasoline,Manual,Grey,29838.93778219005,189728.0
Honda,Accord,2003.0,Hybrid,CVT,Silver,28453.207807831,187210.0
Toyota,Corolla,2011.0,Gasoline,Automatic,Red,12915.37186642082,76125.0
Toyota,Corolla,2016.0,Diesel,Automatic,,30363.912209586204,
Chevrolet,Impala,,Gasoline,CVT,Grey,23767.874126917217,76323.0
Tesla,Model S,2023.0,Hybrid,Manual,Blue,35981.13153358736,
Honda,CR-V,2010.0,Gasoline,Automatic,Silver,31089.030452140938,125808.0
Tesla,Model X,2018.0,,CVT,,43463.734174792226,53441.0
Tesla,Model 3,,Diesel,Manual,Black,29441.192651016205,846.0
BMW,X5,2009.0,,,Grey,16903.788310041065,88236.0
Ford,Focus,2023.0,Hybrid,CVT,Red,49625.24959951195,97579.0
Ford,Fusion,,Hybrid,CVT,Red,23177.302873886605,
Nissan,Rogue,2007.0,Diesel,CVT,Blue,34789.67737378233,168048.0
Chevrolet,Malibu,2021.0,Hybrid,CVT,Black,,78477.0
Tesla,Model 3,2016.0,Hybrid,Manual,Black,31994.664520158243,42533.0
BMW,X3,2024.0,Gasoline,CVT,Silver,21456.43703557588,105292.0
BMW,X3,2008.0,Electric,CVT,White,32008.06999277446,47362.0
